District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,113,29,1,7,7,12,19,16,13,9
Atlantic,E PA,1850,524,28,159,245,213,212,197,173,99
Atlantic,NJ,2122,313,26,123,254,265,297,334,284,226
Central,IL,3125,741,37,242,321,377,427,432,307,241
Central,IA,470,50,8,17,23,53,72,72,72,103
Central,KS,145,48,2,3,12,20,18,14,14,14
Central,MO,1202,214,16,43,83,122,158,199,185,182
Central,NE,250,26,2,16,32,40,35,33,32,34
Central,WI,4870,651,26,148,226,538,645,763,793,1080
Massachusetts,MA,11452,1252,100,746,1153,1469,1681,1626,1563,1862
Michigan,MI,5269,1465,88,315,372,456,583,637,598,755
Mid-American,IN,632,137,6,28,56,80,82,90,89,64
Mid-American,KY,161,58,0,3,8,11,19,20,25,17
Mid-American,OH,1529,278,22,91,98,157,226,233,208,216
Mid-American,W PA,1386,203,24,87,123,168,218,208,208,147
Mid-American,WV,120,22,3,2,14,10,18,18,18,15
Minnesota,MN,15377,1820,70,441,875,1798,2375,2544,2738,2716
New England,CT,2726,201,28,161,273,395,401,440,357,470
New England,ME,1152,93,15,59,78,142,139,172,172,282
New England,NH,1117,105,7,60,98,138,166,164,171,208
New England,RI,660,105,7,39,61,77,92,77,92,110
New England,VT,1165,136,8,49,56,152,145,167,192,260
New York,NY,6590,852,76,336,507,699,794,963,1026,1337
Northern Plains,MT,1190,547,11,47,57,91,101,112,97,127
Northern Plains,ND,1666,44,11,58,123,230,254,283,331,332
Northern Plains,SD,578,7,8,48,69,85,83,91,88,99
Northern Plains,WY,498,98,4,42,43,62,68,43,63,75
Pacific,AK,2030,779,10,64,125,133,195,184,199,341
Pacific,CA,2856,1035,28,120,204,328,308,359,313,161
Pacific,HI,1,0,0,0,0,1,0,0,0,0
Pacific,NV,523,172,2,10,36,39,77,86,76,25
Pacific,OR,323,135,2,13,22,35,32,39,30,15
Pacific,WA,1759,750,12,64,100,148,125,205,180,175
Rocky Mountain,AZ,893,230,19,29,77,95,98,138,121,86
Rocky Mountain,CO,3008,1172,43,104,235,242,301,343,315,253
Rocky Mountain,ID,878,341,6,35,56,82,66,96,82,114
Rocky Mountain,NM,247,64,2,13,17,24,32,32,33,30
Rocky Mountain,OK,74,12,0,2,5,9,17,14,13,2
Rocky Mountain,TX,1353,417,13,51,86,125,157,194,163,147
Rocky Mountain,UT,562,240,12,32,45,53,53,51,45,31
Southeastern,AL,208,62,1,6,2,22,25,23,28,39
Southeastern,AR,51,5,0,2,1,7,5,5,14,12
Southeastern,DC,275,89,2,12,13,26,28,30,19,56
Southeastern,FL,1400,523,14,60,91,126,148,199,150,89
Southeastern,GA,194,46,2,13,23,26,24,24,21,15
Southeastern,LA,20,9,0,0,1,3,1,2,4,0
Southeastern,MD,1448,410,20,100,169,182,169,172,138,88
Southeastern,MS,12,4,0,0,2,2,1,0,2,1
Southeastern,NC,777,195,13,33,57,84,92,129,113,61
Southeastern,SC,198,70,0,10,15,20,26,20,20,17
Southeastern,TN,383,104,2,21,40,25,38,58,48,47
Southeastern,VA,1083,296,12,53,94,146,138,130,127,87
Total,nan,87971,17179,849,4217,6783,9843,11484,12481,12163,12972
