District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,115,32,2,7,8,10,11,13,22,10
Atlantic,E PA,1751,483,21,170,191,226,210,177,156,117
Atlantic,NJ,1751,310,31,80,151,202,259,250,267,201
Central,IL,3372,767,26,178,308,410,415,441,445,382
Central,IA,355,59,10,12,25,28,41,54,61,65
Central,KS,100,42,2,2,6,5,18,12,5,8
Central,MO,771,169,4,22,54,67,92,111,123,129
Central,NE,231,52,8,13,12,31,34,29,29,23
Central,WI,3873,651,26,106,199,382,459,558,599,893
Massachusetts,MA,10855,1459,62,606,1060,1461,1524,1581,1497,1605
Michigan,MI,5041,1744,64,268,367,432,478,479,532,677
Mid-American,IN,507,128,8,18,33,62,70,64,55,69
Mid-American,KY,155,63,1,2,7,8,16,11,23,24
Mid-American,OH,1195,295,14,72,91,131,149,151,161,131
Mid-American,W PA,1321,204,26,75,127,151,144,169,242,183
Mid-American,WV,130,14,0,3,10,8,22,25,24,24
Minnesota,MN,13883,1862,58,410,714,1559,2179,2298,2375,2428
New England,CT,2556,280,21,130,237,383,383,413,321,388
New England,ME,1257,161,2,48,89,179,166,138,140,334
New England,NH,1107,138,14,80,96,148,138,156,151,186
New England,RI,655,99,8,23,34,65,85,88,103,150
New England,VT,1212,160,9,35,72,160,195,185,170,226
New York,NY,5992,995,53,289,532,688,734,796,818,1087
Northern Plains,MT,998,493,8,53,54,71,75,84,86,74
Northern Plains,ND,1460,65,12,52,135,165,206,260,237,328
Northern Plains,SD,472,23,1,42,67,70,54,81,56,78
Northern Plains,WY,437,109,9,31,38,48,44,47,58,53
Pacific,AK,1987,924,11,64,109,144,159,143,184,249
Pacific,CA,2963,1163,21,113,174,211,262,375,351,293
Pacific,HI,26,14,0,1,1,0,0,4,2,4
Pacific,NV,107,53,1,3,5,7,12,9,10,7
Pacific,OR,311,137,4,8,9,23,35,35,32,28
Pacific,WA,1308,556,10,37,62,86,109,152,116,180
Rocky Mountain,AZ,757,209,10,33,50,59,70,101,107,118
Rocky Mountain,CO,2689,1156,35,106,174,185,254,279,293,207
Rocky Mountain,ID,713,337,1,39,49,59,68,60,44,56
Rocky Mountain,NM,224,60,4,8,13,20,28,23,28,40
Rocky Mountain,OK,67,7,0,1,0,3,13,12,15,16
Rocky Mountain,TX,953,405,7,31,49,70,82,104,106,99
Rocky Mountain,UT,526,261,7,29,56,47,40,26,31,29
Southeastern,AL,213,47,4,4,8,12,14,24,41,59
Southeastern,AR,34,6,0,0,0,1,2,6,10,9
Southeastern,DC,263,74,1,4,6,26,20,30,33,69
Southeastern,FL,903,370,13,29,61,84,77,96,101,72
Southeastern,GA,173,47,0,8,26,19,21,21,16,15
Southeastern,LA,65,14,0,2,4,4,5,11,10,15
Southeastern,MD,1410,420,17,83,153,137,148,166,156,130
Southeastern,MS,23,4,0,1,1,1,1,5,5,5
Southeastern,NC,640,177,8,15,44,53,65,77,95,106
Southeastern,SC,124,41,1,5,5,12,17,14,19,10
Southeastern,TN,344,85,7,10,15,27,29,49,52,70
Southeastern,VA,980,270,16,53,72,81,117,141,116,114
Totals,nan,79355,17694,678,3514,5863,8521,9849,10634,10729,11873
